name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"10.7852,79.8409",2025-02-04,82.8,71.7,78.1,90.5,71.7,80.1,71.8,81.3,0,0,0,,0,0,13,7.6,47.7,1012.2,47.3,11.4,257.4,22.1,9,10,2025-02-04T06:33:46,2025-02-04T18:15:35,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-05,86.1,75.3,79.5,93,75.3,81.6,72.2,79.1,0,0,0,,0,0,16.6,9.8,42.5,1011.4,19.7,11.3,252.3,21.9,9,10,2025-02-05T06:33:36,2025-02-05T18:15:55,0.25,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-06,86.1,76.7,80,94.1,76.7,82.3,72.5,78.2,0.004,100,4.17,rain,0,0,16.8,9.8,54.4,1011.1,32.8,11.4,236.2,20.4,8,10,2025-02-06T06:33:26,2025-02-06T18:16:14,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-07,85.7,75.5,79.2,93.6,75.5,81.1,71.3,77.2,0,0,0,,0,0,17.2,9.8,45.1,1012.5,37.8,11.5,258.8,22.4,9,10,2025-02-07T06:33:14,2025-02-07T18:16:32,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-08,85.7,72.8,79.4,94.2,72.8,81.6,72.2,79.2,0,0,0,,0,0,17.4,9.8,49,1012.4,44.6,11.7,245.2,21,8,10,2025-02-08T06:33:02,2025-02-08T18:16:50,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-09,86.1,76.4,80.4,94.2,76.4,82.8,72.3,76.6,0,0,0,rain,0,0,19.5,11.9,43.1,1011.7,35,11.3,264.7,22.6,9,10,2025-02-09T06:32:48,2025-02-09T18:17:07,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-10,85.5,73.1,80.1,91.5,73.1,81.9,70.6,73.2,0,0,0,rain,0,0,19.5,12.3,43.1,1012.8,25.9,11.5,222.9,19.3,8,10,2025-02-10T06:32:34,2025-02-10T18:17:24,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-11,86.6,75.3,80,94.5,75.3,82.5,71.5,75.5,0,0,0,,0,0,16.6,10.5,59.5,1013.4,56,12.3,270.3,23.3,9,10,2025-02-11T06:32:19,2025-02-11T18:17:40,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-12,86.6,74.9,80.1,96.3,74.9,82.6,72.6,78.2,0,0,0,rain,0,0,16.8,10.3,57.8,1012.8,54.3,11.9,259.5,22.3,9,10,2025-02-12T06:32:02,2025-02-12T18:17:55,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-13,85.7,73.1,78.2,90.4,73.1,79.6,70,76.6,0,0,0,,0,0,13.9,8.1,64.1,1012.7,15.4,11.5,268.7,23.3,9,10,2025-02-13T06:31:45,2025-02-13T18:18:10,0.52,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-14,84.3,69.5,77.5,90,69.5,79,69.7,77.8,0,0,0,,0,0,12.3,6.7,96.8,1012.4,11,11.2,272.9,23.5,9,10,2025-02-14T06:31:27,2025-02-14T18:18:24,0.55,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-15,85.3,69.6,77.9,92,69.6,79.4,70,77.4,0,0,0,,0,0,15.4,8.9,83.9,1011.4,10.9,11.3,278.4,24,9,10,2025-02-15T06:31:08,2025-02-15T18:18:37,0.59,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-16,86,71.3,78.8,92.5,71.3,80.5,70.8,77.1,0,0,0,,0,0,17.2,10.7,65.8,1011.8,19.4,11.3,273.6,23.6,10,10,2025-02-16T06:30:48,2025-02-16T18:18:50,0.62,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-17,88.3,76.7,80,93.5,76.7,81.8,70.5,73.2,0,0,0,,0,0,16.8,10.3,68.9,1013.4,27.2,11.5,258.7,22.3,9,10,2025-02-17T06:30:28,2025-02-17T18:19:03,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-18,87.8,75.9,79.9,92.6,75.9,81.5,70.2,72.9,0,0,0,,0,0,14.8,8.5,78.3,1013.4,16.5,11.3,268.3,23.3,9,10,2025-02-18T06:30:06,2025-02-18T18:19:14,0.68,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-19,87.5,75.6,79.9,95.2,75.6,82.1,70.7,74.1,0,0,0,,0,0,14.8,8.1,84.8,1011.6,14.6,11.5,270.7,23.3,9,10,2025-02-19T06:29:44,2025-02-19T18:19:25,0.72,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-20,87.1,74.6,80.2,93.8,74.6,82.3,71.3,74.9,0,0,0,,0,0,15.2,9.2,75.9,1012.2,18.5,11.3,269.1,23,9,10,2025-02-20T06:29:21,2025-02-20T18:19:36,0.75,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-21,86.1,72.8,80.3,93.8,72.8,82.7,71.2,74.5,0,0,0,,0,0,17.4,10.5,64.5,1013.4,18.3,12.1,266.9,23.1,9,10,2025-02-21T06:28:57,2025-02-21T18:19:46,0.78,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-22,87.1,74.1,80.5,95.3,74.1,82.9,71.6,74.8,0,0,0,,0,0,15.7,9.2,71.3,1013.9,19.2,11.5,262.2,22.7,8,10,2025-02-22T06:28:33,2025-02-22T18:19:55,0.81,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-23,87.5,75.5,80.4,96,75.5,83.6,72.6,77.4,0,0,0,,0,0,17.9,10.7,67.9,1014,12.5,11.5,276.1,23.8,10,10,2025-02-23T06:28:07,2025-02-23T18:20:04,0.85,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-24,86.6,76.6,81.1,94.6,76.6,84.7,73.2,77.3,0,0,0,,0,0,23.7,13.4,52.7,1013.8,27.2,11.5,267,23.1,9,10,2025-02-24T06:27:42,2025-02-24T18:20:12,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-25,86.6,79.2,82,95.9,79.2,87.1,73.6,75.9,0.008,100,8.33,rain,0,0,26.8,16.3,36,1014.3,44,11.5,241.6,20.8,9,10,2025-02-25T06:27:15,2025-02-25T18:20:20,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-26,87.9,78.9,82.7,100.3,78.9,89.9,75.2,78.4,0.02,100,20.83,rain,0,0,32.2,18.6,35.1,1013.9,34.4,11.5,252.7,22,9,10,2025-02-26T06:26:48,2025-02-26T18:20:28,0.94,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-27,87.9,77.7,82.5,101.3,77.7,89.6,75.9,80.9,0.362,100,4.17,rain,0,0,28.6,17.4,36.9,1012.6,59.4,11.4,234.5,20.3,8,10,2025-02-27T06:26:20,2025-02-27T18:20:34,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-02-28,83.2,76.7,79.6,91.8,76.7,82.3,76.3,90,1.842,100,20.83,rain,0,0,25.3,15.9,42.3,1012.1,89.8,10.1,196.4,17.1,7,30,2025-02-28T06:25:51,2025-02-28T18:20:41,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-01,88,78.2,81.2,103.2,78.2,86.8,77.2,87.9,0.662,100,8.33,rain,0,0,21.3,13,56.2,1011.3,82.9,11.2,182.2,15.6,7,30,2025-03-01T06:25:22,2025-03-01T18:20:47,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-02,88,79.1,82.6,102.6,79.1,90.1,77.1,83.7,0.04,100,33.33,rain,0,0,16.6,11.2,68.1,1010.1,52.6,11.4,238.7,20.7,9,10,2025-03-02T06:24:53,2025-03-02T18:20:52,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-03,87.8,78.2,82.3,100.3,78.2,88.5,76.3,82.6,0,0,0,,0,0,15,8.7,75.6,1010.4,69.6,11.3,256.5,22.1,9,10,2025-03-03T06:24:23,2025-03-03T18:20:57,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-04,87.5,76.7,81.6,99.8,76.7,86.6,75.6,82.7,0,0,0,,0,0,14.3,7.4,91.5,1010.4,87,11.3,267.8,23,10,10,2025-03-04T06:23:52,2025-03-04T18:21:02,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-05,89.6,76.7,81.6,101.8,76.7,86.1,75.3,81.8,0,0,0,,0,0,13.4,7.2,121.7,1010.2,62.1,11.4,270.6,23.4,9,10,2025-03-05T06:23:21,2025-03-05T18:21:06,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-06,89.3,75.3,82.1,103.2,75.3,87,74.7,79.1,0,0,0,,0,0,14.5,9.2,134.7,1010.8,23.4,11.2,289.3,24.9,10,10,2025-03-06T06:22:49,2025-03-06T18:21:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-07,88,74.1,81.7,100.4,74.1,86.5,74.8,80.5,0,0,0,,0,0,15,9.2,105.5,1009.8,34.9,11.2,286.3,24.8,10,10,2025-03-07T06:22:17,2025-03-07T18:21:13,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-08,88.9,74.9,81.3,96.9,74.9,84.3,72.4,75,0,0,0,,0,0,15.7,9.4,118.9,1009.1,26.1,11.2,293,25.3,10,10,2025-03-08T06:21:44,2025-03-08T18:21:17,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-09,87.9,75.5,81,93.7,75.5,83.4,69.9,69.7,0,0,0,,0,0,18.1,10.3,95.1,1009.9,13.7,11.3,298.6,25.9,10,10,2025-03-09T06:21:12,2025-03-09T18:21:19,0.32,Clear,Clear conditions throughout the day.,clear-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-10,88.1,76.7,82.7,97.4,76.7,87.7,72.5,71.5,0.004,100,4.17,rain,0,0,27.5,17,41,1011.4,64.3,11.3,235,20.4,8,10,2025-03-10T06:20:38,2025-03-10T18:21:22,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-11,82.1,76.4,79.4,92.9,76.4,81.8,76.9,92.2,3.031,100,20.83,rain,0,0,27.1,16.1,58.4,1011.3,98.1,6.8,78.8,6.9,3,30,2025-03-11T06:20:05,2025-03-11T18:21:24,0.39,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-12,82.3,75.5,78.9,90.2,75.5,80.7,76,91.2,1.003,100,16.67,rain,0,0,18.8,10.3,53.4,1010.9,86.6,9.9,144.1,12.4,5,30,2025-03-12T06:19:31,2025-03-12T18:21:26,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
"10.7852,79.8409",2025-03-13,87.1,73.7,81.2,100.9,73.7,86.1,75.6,83.8,0,0,0,,0,0,14.5,8.1,74.7,1010.4,28.6,11.3,282,24.4,10,10,2025-03-13T06:18:56,2025-03-13T18:21:28,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43347099999,43346099999,43348099999,43207099999,remote,43330099999"
